Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
FW 4620,Herpetology,Forest Resources &amp; Env Science,3.0,BL 1040 or BL 1020,,Spring
FW 4710,Environmental Biogeochemistry,Forest Resources &amp; Env Science,3.0,CH 1150,,Spring
FW 4800,Communication for Natural Resource Professionals,Forest Resources &amp; Env Science,2.0,FW 3190,,Fall
FW 4810,Integrated Resource Assessment,Forest Resources &amp; Env Science,4.0,FW 3190,,Fall
FW 4811,Integrated Resource Assessment Data Collection,Forest Resources &amp; Env Science,1.0,FW 3190,,Fall
FW 4830,Integrated Natural Resource Assessment,Forest Resources &amp; Env Science,3.0,FW 4811(C),,Spring
FW 4840,Senior Research Thesis,Forest Resources &amp; Env Science,4.0,FW 3190,,"Fall, Spring"
GE 1100,Geological Engineering and Sciences Orientation,Geolog. &amp; Mining Engrg &amp; Sci.,1.0; Graded Pass/Fail Only,,,Fall
GE 2000,Understanding the Earth,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,"Fall, Spring, Summer"
GE 2020,Introduction to Mining Engineering and Mining Methods,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,"Fall, Spring - Offered alternate years beginning with the 2005-2006 academic year "
GE 2100,Environmental Geology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Spring
GE 2300,Mineral Science,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,CH 1000 or CH 1112 or (CH 1150 and CH 1151),,Fall
GE 2310,Introduction to Petrology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2300,,Spring
GE 2320,Mining Methods and Systems,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020,,Spring
GE 2500,Introduction to Oceanography,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Spring
GE 2640,Atmospheric Observations and Meteorology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Fall - Offered alternate years beginning with the 2002-2003 academic year 
GE 2900,Geology of the National Parks: Field Experience,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Summer
GE 3040,Fundamentals of Applied and Environmental Geophysics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,PH 2200,,Spring
GE 3050,Structural Geology,Geolog. &amp; Mining Engrg &amp; Sci.,4.0,GE 2000,,Spring
GE 3100,Depositional Systems,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 and GE 2310,,Fall
GE 3200,Geochemistry,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,CH 1150 and CH 1151,,Spring
GE 3250,Computational Geosciences,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,MA 1160 or MA 1161,,Spring
GE 3320,Earth History,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 or GE 2100,,Fall
GE 3400,Drilling and Blasting,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020 and PH 2100,,"Fall, Spring - Offered alternate years beginning with the 2006-2007 academic year "
GE 3410,Mine Safety &amp; Health Cert,Geolog. &amp; Mining Engrg &amp; Sci.,1.0,,,Summer
GE 3670,Oceanographic Science,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Fall
GE 3820,Mechanics of Rock Materials,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 3050,,Spring
GE 3850,Geohydrology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,"Fall, Spring"
GE 3860,Engineering Geology and Geoinformatics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 or GE 2100 and (GE 3050 or ENG 2120 or MEEM 2150),,Fall - Offered alternate years beginning with the 2015-2016 academic year 
GE 3870,Resource &amp; Reserve Estimation,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020 and MA 3710,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
GE 3880,Mine Planning and Design,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2320 and GE 3400 and GE 3870,,Spring - Offered alternate years beginning with the 2017-2018 academic year 
GE 3900,Field Geophysics,Geolog. &amp; Mining Engrg &amp; Sci.,5.0,GE 3040,,Summer
GE 3910,Field Geology with Engineering Applications,Geolog. &amp; Mining Engrg &amp; Sci.,5.0,GE 2000 and GE 2310 and GE 3050,,Summer
GE 3915,Introduction to Field Geology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 and GE 2310 and GE 3050,,Summer
GE 3920,Geological Field Excursion,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
GE 4000,Earth Science Teaching Experience,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   3.0;  Repeatable to a Max of 3,,,On Demand
GE 4100,Geomorphology and Glacial Geology,Geolog. &amp; Mining Engrg &amp; Sci.,4.0,GE 2000,,Fall - Offered alternate years beginning with the 2003-2004 academic year 
GE 4150,Natural Hazards,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 or GE 2100,,Fall
GE 4180,Volcanology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 and (MA 1160 or MA 1161),,Fall
GE 4190,Magma Reservoir Dynamics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2300 and GE 2310,,Spring
GE 4250,Fundamentals of Remote Sensing,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,PH 2200 and MA 2160,,Spring
GE 4290,"Mine Ventilation, Health, and Safety Engineering",Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020 and GE 2320 and ENG 3200,,Summer - Offered alternate years beginning with the 2016-2017 academic year 
GE 4360,Materials Handling,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,PH 2100,,On Demand
GE 4500,Plate Tectonics and Global Geophysics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,MA 3160 and PH 2200 and GE 2000,,Fall
GE 4504,Air Quality Engineering and Science,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,ENVE 3501 or ENVE 3503,,Fall
GE 4530,Planetary Geology &amp; Geophysics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2000 and PH 2200 and MA 2160,,Fall
GE 4560,Earthquake Seismology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 3050 and PH 2100 and MA 3160,,Fall
GE 4600,Reflection Seismology,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 3040,,Spring
GE 4610,Formation Evaluation and Petroleum Engineering,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,"Fall, Spring"
GE 4620,Energy Economics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,EC 2001 or EC 3002 or EC 3003,,Spring
GE 4630,Mineral Industry Economics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring - Offered alternate years beginning with the 2009-2010 academic year "
GE 4640,Fundamentals of Atmospheric Science,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,(PH 2200 or PH 2260) and (PH 1360 or PH 2300) and MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall - Offered alternate years beginning with the 2013-2014 academic year 
GE 4670,Aquatic Remote Sensing,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,PH 1200 and (CH 1150 or GE 2000 or BL 1010 or BL 1040),,Fall
GE 4680,Operation Research for Mining Engineers,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020 or GE 2320,,"Fall, Spring - Offered alternate years beginning with the 2016-2017 academic year "
GE 4690,Discrete Event Simulation and Animation for Engineers,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2020 and GE 2320 and GE 3870,,Spring
GE 4700,Geologic Mapping of Remote Terrain,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,Spring
GE 4760,Geology and Exploration for Mineral Deposits,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 2310 and GE 3050 and GE 3910,,Fall
GE 4800,Groundwater Engineering,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 3850,,On Demand
GE 4860,Computer Methods for Slope Stability and Geomechanics,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,(GE 2000 or GE 2100) and (MEEM 2150 or ENG 2120) and ENG 3200,,Spring
GE 4900,Capstone I,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,,,"Fall, Spring"
GE 4910,Capstone II,Geolog. &amp; Mining Engrg &amp; Sci.,3.0,GE 4900,,"Fall, Spring"
GE 4916,Field Geology in East and South Africa,Geolog. &amp; Mining Engrg &amp; Sci.,6.0,GE 3050,,"Spring, Summer"
GE 4930,Special Topics in Geological Engineering,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   5.0;  Repeatable to a Max of 10,,,On Demand
GE 4931,Special Topics in Geology,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   5.0;  Repeatable to a Max of 10,,,On Demand
GE 4932,Special Topics in Mineralogy,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   5.0;  Repeatable to a Max of 10,GE 2300,,On Demand
GE 4933,Special Topics in Geophysics,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   5.0;  Repeatable to a Max of 10,,,On Demand
GE 4934,Special Topics in Mining Engineering,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   5.0;  Repeatable to a Max of 10,,,On Demand
GE 4961,Independent Geology Research Project,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   9.0;  Repeatable to a Max of 9,,,On Demand
GE 4962,Independent Geophysics Research Project,Geolog. &amp; Mining Engrg &amp; Sci.,variable to   9.0;  Repeatable to a Max of 9,,,On Demand
GE 4970,Special Topics in Global Environment Change,Geolog. &amp; Mining Engrg &amp; Sci.,3.0;  Repeatable to a Max of 6,,,"Fall, Spring"
HU 0110,Undergraduate Student Coaching,Humanities,0.0;  May be repeated,,,"Fall, Spring, Summer"
HU 0122,Global Issues Study Team,Humanities,0.0;  May be repeated,,UN 1025,"Fall, Spring, Summer"
HU 0123,Composition Coaching,Humanities,0.0;  May be repeated,,UN 1015,"Fall, Spring, Summer"
HU 0124,Graduate Student Coaching,Humanities,0.0;  May be repeated,,,"Fall, Spring, Summer"
HU 0125,Int'l GTA Assistance Program,Humanities,0.0;  May be repeated,,,"Fall, Spring"
HU 2130,Introduction to Rhetoric,Humanities,3.0,,,"Fall, Spring, Summer"
HU 2201,Level I-A Chinese Language and Culture,Humanities,3.0,,,On Demand
HU 2202,Level I-B Chinese Language and Culture,Humanities,3.0,HU 2201 or Language Placement Chinese >= 100,,On Demand
HU 2241,Level I-A Less Commonly Taught Languages,Humanities,3.0,,,On Demand
HU 2242,Level I-B Less Commonly Taught Languages,Humanities,3.0,HU 2241,,On Demand
HU 2271,Level I-A French Language and Culture,Humanities,3.0,,,"Fall, Spring"
HU 2272,Level I-B French Language and Culture,Humanities,3.0,HU 2271 or Language Placement French >= 131,,"Fall, Spring"
HU 2273,Transitional Level I French Language and Culture,Humanities,3.0,Language Placement French >= 201,,On Demand
HU 2281,Level I-A German Language and Culture,Humanities,3.0,,,"Fall, Spring"
HU 2282,Level I-B German Language and Culture,Humanities,3.0,HU 2281,,"Fall, Spring"
HU 2291,Level I-A Spanish Language and Culture,Humanities,3.0,,,"Fall, Spring"
HU 2292,Level I-B Spanish Language and Culture,Humanities,3.0,HU 2291 or Language Placement Spanish >= 131,,"Fall, Spring"
HU 2293,Transitional Level I Spanish Language and Culture,Humanities,3.0,HU 2291 or Language Placement Spanish >= 201,,"Fall, Spring, Summer"
HU 2324,Introduction to Film,Humanities,3.0,,,"Fall, Spring"
HU 2400,Introduction to Diversity Studies in the United States,Humanities,3.0,,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
HU 2500,Ways of Reading,Humanities,3.0,,,Fall
HU 2501,American Experience in Literature,Humanities,3.0,,,"Fall, Spring - Offered alternate years beginning with the 2017-2018 academic year "
HU 2503,Introduction to Literature,Humanities,3.0,,,"Fall, Spring"
HU 2505,"Science, Technology, and Humanities",Humanities,3.0,,,On Demand - Offered alternate years beginning with the 2000-2001 academic year 
HU 2510,Intro to Creative Writing,Humanities,3.0,,,Fall
HU 2538,British Experience in Literature,Humanities,3.0,,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
HU 2548,Young Adult Literature,Humanities,3.0,,,On Demand
HU 2600,Introduction to the Field of Scientific and Technical Communication,Humanities,3.0,,,Fall
HU 2632,Fundamentals of Digital Photography,Humanities,3.0,,,Summer
HU 2633,Fundamentals of Digital Imaging,Humanities,3.0,,,"Fall, Spring"
HU 2642,Introduction to Digital Media,Humanities,3.0,,,"Fall, Spring"
HU 2645,Graphic and Information Design,Humanities,3.0,,,Fall
HU 2700,Introduction to Philosophy,Humanities,3.0,,,"Fall, Spring"
HU 2701,Logic and Critical Thinking,Humanities,3.0,,,On Demand
HU 2702,Ethical Theory and Moral Problems,Humanities,3.0,,,"Fall, Summer"
HU 2810,Research and Writing in Communication,Humanities,3.0,UN 1015(C),,Spring
HU 2820,Communication and Culture,Humanities,3.0,,,Fall
HU 2830,Public Speaking &amp; Multimedia,Humanities,3.0,,,"Fall, Spring"
HU 2910,Language and Mind,Humanities,3.0,,,Fall
HU 2920,Language and Society,Humanities,3.0,,,Spring
HU 3015,Advanced Composition,Humanities,3.0,UN 1015,,"Fall, Spring"
HU 3120,Technical and Professional Communication,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring, Summer"
HU 3130,Rhetoric of Science and Technology,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3150,Topics in Literacy Studies,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3151,The Rhetoric of Everyday Texts,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3201,Level II-A Chinese Language and Culture,Humanities,3.0,HU 2202 or Language Placement Chinese >= 201,,On Demand
HU 3202,Level II-B Chinese Language and Culture,Humanities,3.0,HU 3201 or Language Placement Chinese >= 301,,On Demand
HU 3204,Level III Topics in Chinese Literature and Culture,Humanities,3.0;  Repeatable to a Max of 6,HU 3202 or Language Placement Chinese >= 401,,On Demand
HU 3241,Level II A Less Commonly Taught Language and Culture,Humanities,3.0,HU 2242,,On Demand
HU 3242,Level II B Less Commonly Taught Language and Culture,Humanities,3.0,HU 3241,,On Demand
HU 3253,World Literatures &amp; Cultures,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3261,Topics in Communicating Across Cultures,Humanities,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3262,Topics in Francophone Cultures,Humanities,3.0,,,Fall
HU 3263,Topics in German-Speaking Cultures,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring"
HU 3264,Topics in Spanish-Speaking Cultures,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3265,Topics in East Asian Cultures,Humanities,3.0,,,On Demand
HU 3271,Level II-A French Language and Culture,Humanities,3.0,HU 2272 or HU 2273 or Language Placement French >= 331,,"Fall, Spring"
HU 3272,Level II-B French Language and Culture,Humanities,3.0,HU 3271 or Language Placement French >= 421,,"Fall, Spring"
HU 3273,Level II French Composition and Conversation,Humanities,3.0,HU 2272 or HU 2273 or Lang Placement French I-A Tran >= 301,,Spring
HU 3274,Level III Topics in French Literature and Culture,Humanities,3.0;  Repeatable to a Max of 6,HU 3272 or HU 3273 or Language Placement French >= 501,,Fall - Offered alternate years beginning with the 2013-2014 academic year 
HU 3275,Level III French for Special Purposes,Humanities,3.0;  Repeatable to a Max of 6,HU 3272 or HU 3273 or Language Placement French >= 501,,Fall - Offered alternate years beginning with the 2013-2014 academic year 
HU 3280,Level I-C German Language and Culture,Humanities,3.0,HU 2282 or Language Placement German >= 221,,"Fall, Spring"
HU 3281,Level II-A German Language and Culture,Humanities,3.0,HU 3280 or Language Placement German >= 301,,"Fall, Spring"
HU 3282,Level II-B German Language and Culture,Humanities,3.0,HU 3281 or Language Placement German >= 371,,"Fall, Spring"
HU 3283,Level II German for Special Purposes,Humanities,3.0,HU 3282 or Language Placement German >= 451,,"Fall, Spring"
HU 3284,Level III in German Literature and Culture,Humanities,3.0;  Repeatable to a Max of 6,HU 3282 or Language Placement German >= 521 or CEEB German Language >= 3,,Fall
HU 3285,Level III German: Film and Media,Humanities,3.0;  Repeatable to a Max of 6,HU 3282 or Language Placement German >= 521 or CEEB German Language >= 3,,Spring
HU 3291,Level II Spanish Language and Culture,Humanities,3.0,HU 2292 or HU 2293 or Language Placement Spanish >= 321,,"Fall, Spring"
HU 3292,Level II-B Spanish Language and Culture,Humanities,3.0,HU 2232 or HU 3291 or Language Placement Spanish >= 401,,"Fall, Spring"
HU 3293,Level IIC Spanish Composition and Conversation,Humanities,3.0,HU 2293 or HU 3291 or HU 3292 or Language Placement Spanish >= 480,,"Fall, Spring, Summer"
HU 3294,Hispanic Literatures and Cultures,Humanities,3.0;  Repeatable to a Max of 9,HU 3293 or Language Placement Spanish >= 631,,"Fall, Spring"
HU 3295,Level III Advanced Spanish for Literacies,Humanities,3.0;  Repeatable to a Max of 9,HU 3293 or Language Placement Spanish >= 631,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
HU 3296,Introduction to Hispanic Literatures and Cultures,Humanities,3.0;  Repeatable to a Max of 6,HU 3293 or Language Placement Spanish >= 631,,On Demand - Offered alternate years beginning with the 2015-2016 academic year 
HU 3325,Film History and Theory,Humanities,3.0,HU 2324 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2017-2018 academic year 
HU 3326,Topics in World Cinema,Humanities,3.0;  Repeatable to a Max of 6,HU 2324 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3400,Topics in Diversity Studies,Humanities,3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3401,Gender and Culture,Humanities,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3502,Mythologies,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2001-2002 academic year 
HU 3504,Studies in the Novel,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3505,"Literary Forms, Genres, and Modes",Humanities,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3506,Major Authors,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3507,Cultural Traditions in Literature,Humanities,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3513,Shakespeare,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3514,Workshop in Creative Nonfiction,Humanities,3.0,HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3515,Workshop in Poetry,Humanities,3.0,HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3516,Workshop in Fiction,Humanities,3.0,HU 2510 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3517,Literary Theory and Criticism,Humanities,3.0,UN 1015,,Spring - Offered alternate years beginning with the 2004-2005 academic year 
HU 3545,Literature Across Borders,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Summer - Offered alternate years beginning with the 2004-2005 academic year "
HU 3554,Science Fiction and Fantasy Literature,Humanities,3.0;  Repeatable to a Max of 6,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 3557,Literature and Science,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand - Offered alternate years beginning with the 2015-2016 academic year 
HU 3600,Professional Development in the Humanities,Humanities,3.0,,,On Demand
HU 3605,Grammar and Usage in Society,Humanities,3.0,,,Spring
HU 3606,Editing,Humanities,3.0,,,Fall
HU 3621,Introduction to Journalism,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3630,Publications and Information Management,Humanities,3.0,HU 2642 and HU 2633 or HU 2645,,Spring
HU 3650,Introduction to Web Design,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3693,Science Writing,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
HU 3694,Grant Writing,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
HU 3695,Digital Writing and Rhetoric,Humanities,3.0,HU 2642 or HU 2130 or HU 3120,,Fall - Offered alternate years beginning with the 2016-2017 academic year 
HU 3700,Philosophy of Science,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3701,Philosophy of Technology,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3702,Philosophy of Religion,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3710,Engineering Ethics,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3711,Biomedical Ethics,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3800,Media and Society,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3810,Technology and Culture,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3820,Interpersonal Communication,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3830,"Creativity, Culture, and Change",Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2016-2017 academic year 
HU 3832,Advanced Digital Presentation,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3840,Organizational Communication,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3850,Cultural Studies,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2015-2016 academic year 
HU 3860,Popular Culture,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3871,New Media Theory,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 3872,"Color, Visuality, and Culture",Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2017-2018 academic year 
HU 3882,Media Industries,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall
HU 3890,Documentary,Humanities,3.0,,,Fall
HU 3910,Global Language Issues,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2009-2010 academic year 
HU 3940,Language and Identity,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring - Offered alternate years beginning with the 2010-2011 academic year 
HU 3961,Theroetical Foundation of TESOL,Humanities,3.0,HU 2910,HU 3605,On Demand
HU 3962,TESOL Methods and Materials,Humanities,3.0,HU 3961,,On Demand
HU 3963,Assessment and Testing in TESOL,Humanities,3.0,,HU 3961,On Demand
HU 3964,Cross-Cultural Aspects of TESOL,Humanities,3.0,,,On Demand
HU 4050,Special Topics,Humanities,variable to   6.0;  May be repeated,,,"Fall, Spring, Summer"
HU 4060,Humanities Workshop,Humanities,variable to   6.0;  May be repeated,,,"Fall, Spring, Summer"
HU 4101,Multiliteracies Center Practicum,Humanities,1.0;  May be repeated,UN 1015,,"Fall, Spring"
HU 4130,Special Topics in Rhetoric and Composition,Humanities,3.0,,,Spring - Offered alternate years beginning with the 2000-2001 academic year 
HU 4140,Methods of Teaching English,Humanities,4.0,ED 3110 and ED 3210 and ED 3410 and ED 4700(C),,Fall
HU 4150,Literacy in the Content Areas,Humanities,4.0,ED 3110 and ED 3210 and ED 3410,,"Fall, Spring"
HU 4271,Modern Language Seminar I-French,Humanities,3.0,HU 3274 or HU 3275,,On Demand
HU 4272,Modern Language Seminar II-French,Humanities,3.0,HU 3274 or HU 3275,,"Fall, Spring - Offered alternate years beginning with the 2001-2002 academic year "
HU 4273,Modern Language Seminar III-French,Humanities,3.0,(HU 3274 or HU 3275) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 4281,Modern Language Seminar I-German,Humanities,3.0,HU 3284 or HU 3285,,"Fall, Spring"
HU 4282,Modern Language Seminar II-German,Humanities,3.0,(HU 3284 or HU 3285) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Fall, Spring - Offered alternate years beginning with the 2001-2002 academic year "
HU 4283,Modern Language Seminar III-German,Humanities,3.0,HU 3284 or HU 3285,,"Fall, Spring"
HU 4291,Level IV Modern Language Seminar I-Spanish,Humanities,3.0,HU 3294 or HU 3295,,On Demand
HU 4292,Level IV Modern Language Seminar II-Spanish,Humanities,3.0,HU 3294 or HU 3295,,On Demand
HU 4293,Level IV Modern Language Seminar III-Spanish,Humanities,3.0,HU 3294 or HU 3295,,On Demand
HU 4500,Senior Seminar in English,Humanities,3.0;  Repeatable to a Max of 6,,,"Fall, Spring"
HU 4501,BA Thesis,Humanities,3.0,,,On Demand
HU 4600,Humanities Internship,Humanities,variable to   6.0;  May be repeated,,,On Demand
HU 4625,Risk Communication,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 4626,International Technical Communication,Humanities,3.0,HU 2600,,Spring
HU 4628,Usability and Instructions Writing,Humanities,3.0,HU 3120 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 4634,Advanced Practicum in Scientific and Technical Communication,Humanities,3.0,HU 3120 and HU 2600,,Fall
HU 4642,Advanced Topics in Media,Humanities,3.0;  Repeatable to a Max of 6,,,On Demand
HU 4690,Special Topics in Technical and Professional Communication,Humanities,3.0;  Repeatable to a Max of 9,,,On Demand
HU 4700,Topics in Philosophy,Humanities,3.0;  Repeatable to a Max of 9,UN 1015,,On Demand
HU 4701,Political Philosophy,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Spring
HU 4725,Existentialism and Phenomenology,Humanities,3.0,,,Spring - Offered alternate years beginning with the 2013-2014 academic year 
HU 4800,Media and Globalization,Humanities,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,Fall - Offered alternate years beginning with the 2014-2015 academic year 
HU 4890,Topics in Communication,Humanities,3.0;  Repeatable to a Max of 9,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,On Demand
HU 4961,Practicum in TESOL,Humanities,variable to   6.0;  Repeatable to a Max of 6,HU 3962,,"Fall, Spring, Summer"
MA 0010,Development of Mathematics Skills,Mathematical Sciences,0.0;  May be repeated,,,"Fall, Spring"
MA 0030,Lab Approach for College Algebra,Mathematical Sciences,0.0;  May be repeated,,MA 1030,"Fall, Spring"
MA 0031,Lab Approach for College Algebra II,Mathematical Sciences,0.0;  May be repeated,,MA 1031,"Fall, Spring, Summer"
MA 1020,Quantitative Literacy,Mathematical Sciences,4.0,ALEKS Math Placement >= 00,,Fall
